test_score,train_score,weights
0.8352869846402587,0.9985851916728424,"[0.5, 0.5, 0.75]"
0.8350848827809216,0.9844371084012666,"[0.5, 0.5, 1.0]"
0.8342764753435732,0.9693458195782524,"[0.5, 0.5, 1.25]"
0.8344785772029103,0.955871454557704,"[0.5, 0.5, 1.5]"
0.8401374292643492,1.0,"[0.5, 0.75, 0.5]"
0.8379143088116411,1.0,"[0.5, 0.75, 0.75]"
0.8354890864995957,0.9992589099238698,"[0.5, 0.75, 1.0]"
0.8340743734842361,0.9899615980596914,"[0.5, 0.75, 1.25]"
0.8334680679062247,0.9781715286667115,"[0.5, 0.75, 1.5]"
0.8383185125303153,1.0,"[0.5, 1.0, 0.5]"
0.8393290218270008,1.0,"[0.5, 1.0, 0.75]"
0.8369037995149555,1.0,"[0.5, 1.0, 1.0]"
0.8350848827809216,0.9993936535740753,"[0.5, 1.0, 1.25]"
0.8344785772029103,0.9927238428889038,"[0.5, 1.0, 1.5]"
0.8391269199676638,1.0,"[0.5, 1.25, 0.5]"
0.8381164106709782,1.0,"[0.5, 1.25, 0.75]"
0.8391269199676638,1.0,"[0.5, 1.25, 1.0]"
0.8352869846402587,1.0,"[0.5, 1.25, 1.25]"
0.8352869846402587,0.9996631408744863,"[0.5, 1.25, 1.5]"
0.8399353274050121,1.0,"[0.5, 1.5, 0.5]"
0.8395311236863379,1.0,"[0.5, 1.5, 0.75]"
0.8395311236863379,1.0,"[0.5, 1.5, 1.0]"
0.8381164106709782,1.0,"[0.5, 1.5, 1.25]"
0.8350848827809216,1.0,"[0.5, 1.5, 1.5]"
0.8383185125303153,1.0,"[0.75, 0.5, 0.5]"
0.8383185125303153,0.9999326281748973,"[0.75, 0.5, 0.75]"
0.8362974939369442,0.9924543555884929,"[0.75, 0.5, 1.0]"
0.8350848827809216,0.9799905679444856,"[0.75, 0.5, 1.25]"
0.8344785772029103,0.9672572930000674,"[0.75, 0.5, 1.5]"
0.8385206143896524,1.0,"[0.75, 0.75, 0.5]"
0.8369037995149555,0.9999326281748973,"[0.75, 0.75, 1.0]"
0.8360953920776071,0.9947449976419861,"[0.75, 0.75, 1.25]"
0.8350848827809216,0.9844371084012666,"[0.75, 0.75, 1.5]"
0.8399353274050121,1.0,"[0.75, 1.0, 0.5]"
0.8381164106709782,1.0,"[0.75, 1.0, 0.75]"
0.8373080032336297,1.0,"[0.75, 1.0, 1.0]"
0.8364995957962813,1.0,"[0.75, 1.0, 1.25]"
0.8354890864995957,0.9960924341440409,"[0.75, 1.0, 1.5]"
0.8407437348423605,1.0,"[0.75, 1.25, 0.5]"
0.8387227162489895,1.0,"[0.75, 1.25, 0.75]"
0.8393290218270008,1.0,"[0.75, 1.25, 1.0]"
0.837712206952304,1.0,"[0.75, 1.25, 1.25]"
0.8352869846402587,1.0,"[0.75, 1.25, 1.5]"
0.8423605497170574,1.0,"[0.75, 1.5, 0.5]"
0.8383185125303153,1.0,"[0.75, 1.5, 0.75]"
0.8389248181083266,1.0,"[0.75, 1.5, 1.0]"
0.8393290218270008,1.0,"[0.75, 1.5, 1.25]"
0.8369037995149555,1.0,"[0.75, 1.5, 1.5]"
0.8401374292643492,1.0,"[1.0, 0.5, 0.5]"
0.8399353274050121,1.0,"[1.0, 0.5, 0.75]"
0.8383185125303153,0.9970356396954794,"[1.0, 0.5, 1.0]"
0.83589329021827,0.9867951222798625,"[1.0, 0.5, 1.25]"
0.8348827809215845,0.9760830020885266,"[1.0, 0.5, 1.5]"
0.8383185125303153,1.0,"[1.0, 0.75, 0.5]"
0.8389248181083266,1.0,"[1.0, 0.75, 0.75]"
0.837712206952304,1.0,"[1.0, 0.75, 1.0]"
0.8360953920776071,0.9980462170720205,"[1.0, 0.75, 1.25]"
0.83589329021827,0.9904332008354106,"[1.0, 0.75, 1.5]"
0.8395311236863379,1.0,"[1.0, 1.0, 0.5]"
0.8375101050929669,1.0,"[1.0, 1.0, 0.75]"
0.8360953920776071,1.0,"[1.0, 1.0, 1.0]"
0.8369037995149555,1.0,"[1.0, 1.0, 1.25]"
0.8352869846402587,0.9985851916728424,"[1.0, 1.0, 1.5]"
0.8409458367016976,1.0,"[1.0, 1.25, 0.5]"
0.8391269199676638,1.0,"[1.0, 1.25, 0.75]"
0.8379143088116411,1.0,"[1.0, 1.25, 1.0]"
0.8371059013742926,1.0,"[1.0, 1.25, 1.25]"
0.8362974939369442,1.0,"[1.0, 1.25, 1.5]"
0.8427647534357317,1.0,"[1.0, 1.5, 0.5]"
0.8391269199676638,1.0,"[1.0, 1.5, 0.75]"
0.8401374292643492,1.0,"[1.0, 1.5, 1.0]"
0.8389248181083266,1.0,"[1.0, 1.5, 1.25]"
0.8379143088116411,1.0,"[1.0, 1.5, 1.5]"
0.839733225545675,1.0,"[1.25, 0.5, 0.5]"
0.8409458367016976,1.0,"[1.25, 0.5, 0.75]"
0.8387227162489895,0.9992589099238698,"[1.25, 0.5, 1.0]"
0.8387227162489895,0.991915380987671,"[1.25, 0.5, 1.25]"
0.8362974939369442,0.9826854409485953,"[1.25, 0.5, 1.5]"
0.8403395311236863,1.0,"[1.25, 0.75, 0.5]"
0.8395311236863379,1.0,"[1.25, 0.75, 0.75]"
0.8387227162489895,1.0,"[1.25, 0.75, 1.0]"
0.8389248181083266,0.999461025399178,"[1.25, 0.75, 1.25]"
0.8364995957962813,0.994273394866267,"[1.25, 0.75, 1.5]"
0.8389248181083266,1.0,"[1.25, 1.0, 0.5]"
0.8383185125303153,1.0,"[1.25, 1.0, 0.75]"
0.8379143088116411,1.0,"[1.25, 1.0, 1.0]"
0.8379143088116411,1.0,"[1.25, 1.0, 1.25]"
0.8364995957962813,0.999730512699589,"[1.25, 1.0, 1.5]"
0.8413500404203719,1.0,"[1.25, 1.25, 0.5]"
0.8389248181083266,1.0,"[1.25, 1.25, 0.75]"
0.8375101050929669,1.0,"[1.25, 1.25, 1.0]"
0.8369037995149555,1.0,"[1.25, 1.25, 1.5]"
0.8419563459983832,1.0,"[1.25, 1.5, 0.5]"
0.839733225545675,1.0,"[1.25, 1.5, 0.75]"
0.8381164106709782,1.0,"[1.25, 1.5, 1.0]"
0.8373080032336297,1.0,"[1.25, 1.5, 1.25]"
0.8371059013742926,1.0,"[1.25, 1.5, 1.5]"
0.8395311236863379,1.0,"[1.5, 0.5, 0.5]"
0.8409458367016976,1.0,"[1.5, 0.5, 0.75]"
0.8401374292643492,0.9998652563497945,"[1.5, 0.5, 1.0]"
